id,industry,description
1,"Apparel, Accessories & Footwear","The Apparel, Accessories & Footwear industry includes entities involved in the design, manufacturing, wholesaling and retailing of various products, including adult and children’s clothing, handbags, jewellery, watches and footwear. Products are manufactured primarily by vendors in emerging markets, thereby allowing entities in the industry to focus on design, wholesaling, marketing, supply chain management and retail activities."
2,Appliance Manufacturing,"Appliance Manufacturing industry entities design and manufacture household appliances and hand tools. Entities in this industry sell and manufacture products all over the world, primarily selling products to consumers through retailers."
3,Building Products & Furnishings,"Entities in the Building Products & Furnishings industry design and manufacture home improvement products, home and office furnishings, and structural wood building materials. The industry’s products include flooring, ceiling tiles, home and office furniture and fixtures, wood trusses, plywood, panelling and lumber. Entities typically sell their products through distribution channels to retail stores or through independent or entity-owned dealerships."
4,E-Commerce,"E-Commerce industry entities provide an online marketplace for other entities or individuals to sell their goods and services, as well as retailers and wholesalers that provide an exclusively web-based platform for consumers to buy goods and services. Entities in this industry sell to consumers as well as to other businesses. Because of the accessibility of e-commerce sites, the industry is a global marketplace for buyers and sellers."
5,Household & Personal Products,"Household & Personal Products industry entities manufacture a wide range of goods for personal and commercial consumption, including cosmetics, household and industrial cleaning supplies, soaps and detergents, sanitary paper products, household batteries, razors and kitchen utensils. Household and personal products entities operate globally and typically sell their products to mass merchants, grocery stores, membership club stores, drug stores, high-frequency stores, distributors and e-commerce retailers. Some entities sell products through independent representatives rather than third-party retail establishments. "
6,Multiline and Specialty Retailers & Distributors,"The Multiline and Specialty Retailers & Distributors industry encompasses a variety of retailing categories such as department stores, mass merchants, home products stores and warehouse clubs, as well as a smaller segment of distributors like electronics wholesalers and automotive wholesalers. These entities (except for the distribution segment) commonly manage global supply chains to anticipate consumer demands, keep costs low and keep products stocked in their brick-and-mortar storefronts. This is a highly competitive industry in which each category generally has a small number of important players characterised by generally low margins. The relatively substitutable nature of retail makes entities in this industry especially susceptible to reputational risks."
7,Toys & Sporting Goods,"The Toys & Sporting Goods industry comprises two distinct segments that produce leisure products: entities that manufacture toys and games, and entities that manufacture sporting and athletic goods, such as bicycles, golf clubs, fitness equipment, and other similar products. Entities in this industry primarily sell their products to consumers through retail stores. The level of manufacturing integration varies among and within segments of the industry; manufacturing is based primarily in Asia, with China accounting for a majority of production."
8,Coal Operations,"The Coal Operations industry includes entities that mine coal and those that manufacture coal products. Mining activity covers both underground and surface mining, and thermal and metallurgical coal."
9,Construction Materials,"Construction Materials entities have global operations and produce construction materials for sale to construction entities or wholesale distributors. These primarily include cement and aggregates, but also glass, plastic materials, insulation, bricks and roofing material. Materials producers operate their own quarries, mining crushed stone or sand and gravel. They may also purchase raw materials from the mining and petroleum industries."
10,Iron & Steel Producers,"The Iron & Steel Producers industry primarily consists of entities producing iron and steel in mills and foundries. The steel producers segment produces iron and steel products from its own mills. These products include flat-rolled sheets, tin plates, pipes, tubes, and products made of stainless steel, titanium and high alloy steels. Iron and steel foundries, which cast various products, typically purchase iron and steel from other entities. The industry also includes metal service centres and other metal merchant wholesalers, which distribute, import or export ferrous products. Though entities are developing alternative processes, steel production primarily relies on two primary methods: the basic oxygen furnace (BOF), which uses iron ore as an input, and the electric arc furnace (EAF), which uses scrap steel. Many entities in the industry operate on an international scale. Note: With a few exceptions, most entities do not mine their own ore to manufacture steel and iron products. There exists a separate standard for the Metals & Mining (EM-MM) industry. "
